City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,talara,88,PE,1586114628,61,-4.58,-81.27,300.87,3.51
364,huarmey,28,PE,1586114857,54,-10.07,-78.15,301.55,4.67
365,vestmannaeyjar,90,IS,1586114858,86,63.44,-20.27,278.15,16.5
366,ullapool,99,GB,1586114858,57,57.9,-5.16,288.15,7.15
367,red bluff,40,US,1586114858,81,40.18,-122.24,285.15,10.3
368,hirara,100,JP,1586114858,61,24.8,125.28,293.05,5.71
369,hudson bay,85,CA,1586114858,91,52.85,-102.38,269.87,2.47
370,bom jesus,94,BR,1586114858,55,-9.07,-44.36,304.56,2.31
371,santa rosa,20,PH,1586114858,74,14.31,121.11,299.26,1.5
372,najran,5,SA,1586114858,32,17.49,44.13,300.15,3.6
373,mount isa,74,AU,1586114859,28,-20.73,139.5,294.15,4.6
374,ca mau,37,VN,1586114859,83,9.18,105.15,299.62,3.15
375,tutoia,75,BR,1586114859,79,-2.76,-42.27,304.15,6.2
376,las vegas,1,US,1586114583,26,36.17,-115.14,294.26,7.7
377,coracora,37,PE,1586114584,21,-15.03,-73.78,290.09,5.01
378,poplar bluff,90,US,1586114859,59,36.76,-90.39,292.15,1.5
379,riyadh,75,SA,1586114614,18,24.69,46.72,300.15,4.1
380,puerto madero,40,MX,1586114859,52,14.72,-92.42,307.15,8.2
381,cikupa,40,ID,1586114859,88,-6.24,106.51,299.82,3.6
